drugname,count
NSS #2 (ml/hr),14
 10% Dextrose (ml/hr),5
3% HYPERTONIC SALINE (ml/hr),214
Solumedrol  (mg/kg/hr),33
D5+150meq NaHCO3 (ml/hr),20
IV w/ Bicarb (ml/hr),16
Ciklokapron (ml/hr),26
Banana bag (ml/hr),169
sod bicarb-75 meqs (ml/hr),95
NSS + ABX (ml/hr),43
MVI 10ml+Thiamine 100mg+Folic Acid 1mg (ml/hr),12
20 K+ IN d5w (ml/hr),16
Amiodarone (Unknown),8
K ACETATE RIDER (ml/hr),7
Dopamine (nanograms/kg/min),1
NS c abx (ml/hr),11
NSS main (ml/hr),46
NS 0.9 %  (ml/hr),13
epidural; fentanyl/lido/duramorph,2
D10 0.45% NS (ml/hr),18
.9 ns with 20 kcl (ml/hr),9
0.9% NACL BOLUS (ml/hr),2
MIF (ml/hr),3
Alteplase (EKOS #2) (mg/hr),23
D5 1/2 w/folic+B1 (ml/hr),24
d5w/150meq HCO3 (ml/hr),18
tpa (ml/hr),20
D10% /NaCl 0.45% (ml/hr),1
Volume (mL)-lactated ringers bolus 750 mL (ml/hr),1
Scale A Insulin (units/hr),23
NACL c 10%dextrose (ml/hr),7
cisatracurium,1
Other Med 500 mg Sodium Chloride 0.9% 250 ml Ketamine HCl (mcg/kg/min),10
D5 1/2 NS,10
"Volume (mL)-sodium chloride 0.9 % bolus 1,000 mL",25
D5.45% NS (ml/hr),12
D5W W/40K,2
MVI  (ml/hr),27
0.45%NS w/2amps NaHCO3 (ml/hr),24
D5 & 1/2NS (ml/hr),12
Diamox (ml/hr),3
D5.45nss (ml/hr),9
"Folic Acid Inj 5 mg Multivitamins-12 Inj 20 ml Thiamine Inj 200 mg Magnesium Sulfate Inj 4 gm in Sodium Chloride 0.9% 1,000 ml ()",1
IV maintenance (ml/hr),12
D5w0.45 NSS (ml/hr),14
Isoproterenol (),669
NS/abx (ml/hr),95
IVFmaintenance (ml/hr),2
NS (Coolant) (ml/hr),27
5% Albumin (ml/hr),7
D5/LR/10mEq KCl (ml/hr),13
.45NS w/75mEq Bicarb,1
0.9% NSS,21
1/2NS w 20kcl (ml/hr),28
0.45%NS w MVI (ml/hr),8
Volume (mL) Naloxone,5
blood,2
25% ALBUMIN (ml/hr),4
Normal Saline  (ml/hr),458
D5 150mEqBicarb (ml/hr),37
nsc20k (ml/hr),23
SALINE LOCK (ml/hr),2
NaHCO3  150 meq (ml/hr),3
PRBC's,1
NS antibx (ml/hr),44
D5 0.45 + 40mEq Potassium (ml/hr),11
Bivalirudin (Angiomax) 250 mg  50 ml (mg/kg/hr),8
fentanyl  (mcg/hr),6
PCA Dilaudid cont dose,1
nb bolus (ml/hr),1
Glucerna 1.5 TF,1
Activase (ml/hr),27
NA BICARB (ml/hr),85
NaBicarb Gtt (ml/hr),29
PLATELETS (ml/hr),3
Abciximab,3
Amicar (mcg/kg/min),4
ALBUMIN 25% (ml/hr),7
ARGATROBAN,1
Isuprel  drip (mcg/min),46
0.9% NSS Main (ml/hr),67
D5 0.9% (ml/hr),35
D5LR w/ 20 KCL (ml/hr),31
BLOOD PRODUCT (ml/hr),6
ns  (ml/hr),89
ivf without Vasoactives (ml/hr),30
D5W w/40KCL (ml/hr),10
ALTEPLASE (ml/hr),6
CRRT Replacement Fluid mL/hr (ml/hr),3
3%Na (ml/hr),3
0.45% Saline w/75mEq NaHCO3,1
Fentanyl/Bupivi Epidural (ml/hr),110
NS w/ KCL 20meq (ml/hr),15
 iv+3 amps hco3  (ml/hr),2
D51/2nss w 20kcl (ml/hr),42
Normal saline (ml/hr),344
i v (ml/hr),5
pRBC's,1
D5 c 40 mEq K+ (ml/hr),8
NS flush (ml/hr),1
NSS+additives (ml/hr),22
D5 w/ 150 mEq bicarb (ml/hr),75
DILAUDID PCA (mg/hr),56
acetylcycsteine (ml/hr),6
Hypertonic 3% saline (ml/hr),146
Octreotide (mcg/min),3
Calcium GLUCONATE MAX 2 g Sodium Chloride 0.9% 100 ml (Unknown),12
tube feeding (ml/hr),12
bicarb 3 amps (ml/hr),8
Bumetanide (Bumex) 10 mg Sodium Chloride 0.9% 100 ml (mg/hr),2
NS w/ 20 mEq KCL (ml/hr),13
Neo Synephrine (mcg/min),29
NIMBEX,1
0.45 (ml/hr),6
D5 0.45NS 40mEq Kcl (ml/hr),7
ALbumin (ml/hr),3
Penicillin (ml/hr),41
HTS (ml/hr),51
Cisatracurium (Nimbex)STD 200 mg Sodium Chloride 0.9% 1000 ml (mcg/kg/min),222
D5 with glucagon (mg/hr),8
d10w (ml/hr),21
5%Albumin (ml/hr),22
Vasopressin (),7327
LEVAQUIN (ml/hr),2
D5 1/2 W/20K (ml/hr),19
",9NSS (ml/hr)",8
D5W w/150 mEq NaHCO3 (ml/hr),12
Normosol R,1
3% saline,2
Alteplase(tPA)VasculrSur 10 mg Sodium Chloride 0.9% 1000 ml (mg/hr),1
Volume-Transfuse cryoprecipitate (ml/hr),29
Octreotide (ml/hr),20110
KVO  (ml/hr),3
NaCl (ml/hr),1
cytarabine (ml/hr),3
NS Bolus (ml/hr),8
0.9% NSS Venous Sheath,1
cistacurium (mg/hr),74
SODIUM CHLORIDE (ml/hr),2
IVF Bolus.   (ml/hr),4
IVF/KCL (ml/hr),10
angiomax (mcg/kg/hr),2
tPA (alteplase) (mg/hr),10
0.45nss (ml/hr),31
AcetylCysteine (ml/hr),5
Fentanyl PCA (cont) (ml/hr),1
nabicarb (ml/hr),2
0.9% NACL (ml/hr),47
propofol (mcg/min),2
D5 NSS w/ 20KCL (ml/hr),24
ivf WITH mvi (ml/hr),2
D5+150meqNaHco3 ,1
Bic (ml/hr),3
Dexmedetomidine Inj 400 Mcg in Sodium Chloride 0.9% 100 ml (),10
Bicarb 150mEq (ml/hr),12
D5NS MVI  (ml/hr),7
Norepinephrine STD 4 mg Dextrose 5% 250 ml (mcg/min),3013
Cryoprecipitate (ml/hr),11
NABICARB (ml/hr),3
0.45NS 40mEqK (ml/hr),9
Soldium Bicarb (ml/hr),1
argatroban (mcg/kg/min),1685
Epoprostenol (nanograms/kg/min),1199
HESpan (ml/hr),1
D5-1/2NS + 20KCL (ml/hr),6
Clindamycin 900 mg/D5w 50 ml (ml/hr),4
D5NS+40mEq Potassiuum (ml/hr),5
Dilaudid-PCA (ml/hr),3
BICARBONATE (ml/hr),14
fentanyl (mcg/hr),204
nimbex,5
Sodium Bicarbonate mL/hr,1
NTG (mcg/min) (mcg/min),81
0.45% SODIUM CHOLRIDE (ml/hr),15
d5 1/2ns. (ml/hr),33
D5 1/2NS / 20mmol K phos (ml/hr),1
0.45% normal saline (ml/hr),13
3% hypertonic saline (ml/hr),39
Cisatracurium (Nimbex)STD 200 mg Sodium Chloride 0.9% 500 ml (mcg/kg/min),39
nimbex (mcg/kg/min),1516
tpa (mg/hr),26
IVABx (ml/hr),2
Potassium chloride (ml/hr),2
D5 LR 40K (ml/hr),5
Precedex (mcg/kg/hr),319
Fentanyl (mg/hr),212
DILAUDID (mg/hr),172
NS+ABX (ml/hr),27
D5W/.45%NS + 40 mEq K (ml/hr),20
D5 150 bicarb (ml/hr),19
Insulin (Regular) (ml/hr),22
D5`1/2NS (ml/hr),4
Sodium Bicarb. (ml/hr),22
Magnesium Sulfate STD 2 g Sterile Water (SWFI) 100 ml  Premix (Unknown),2
NS with KCL 20 MeQ (ml/hr),241
REGULAR INSULIN (units/hr),25
NS w/ Anbx (ml/hr),14
NS w/20K (ml/hr),39
IVF # 1 (ml/hr),5
Nitroglycerin (mcg/kg/hr),16
1L D5 0.9NS w/MVI/Thiamine 100mg/Folic Acid 1mg/Mg ++ 2gm (ml/hr),9
Tranxemic acid (mg/hr),10
NS + ABX,1
D5 0.9 NS (ml/hr),191
Dilaudid,2
Albuin 25% (ml/hr),1
hco3 (ml/hr),90
CISATRACURIUM ,1
IVF W MVI (ml/hr),1
Volume-Transfuse pheresed platelets,1
NS + MV/Thiamine/Folic acid,1
.9NSS,5
pc (ml/hr),11
.9 nss (ml/hr),51
Propofol (Diprivan) 1000 mg Sterile Water (SWFI) 100 ml  Premix (mcg/kg/min),1
IVPB's (ml/hr),2
NS(bolus) (ml/hr),5
Eptifibatide (),255
Fresh Frozen Plasma (ml/hr),16
D5.45NSw/20KCl (ml/hr),3
 (mcg/kg/min),43
NS + 20 mEq KCl (ml/hr),56
D5.9 (ml/hr),15
LR Bolus,2
KVO- 0.9% NS (ml/hr),98
1/2NS D5W (ml/hr),18
Nesiritide (BNP) (mcg/kg/min),71
Ativan  (mg/hr),46
FentaNYL (Sublimaze) 2500 mcg Sodium Chloride 0.9% 250 ml  Premix (mcg/hr),3953
Vasopressin 40 Units Sodium Chloride 0.9% 100 ml (units/min),415
narcan (),10
NS fluid bolus 500ml (ml/hr),8
3% NA (ml/hr),7
argatroban (),3
water flush  (ml/hr),46
Post TPA NSS line flush (ml/hr),1
0.9% NS KVO (ml/hr),5
D5 0.45%NSS (ml/hr),16
Naloxone(Narcan)-Obtunded 8 mg Sodium Chloride 0.9% 250 ml (mg/hr),27
D5 1/2 nss w/ 40 kcl (ml/hr),8
D5 +150mEq Bicarb (ml/hr),6
"Vitamin B1, Thiamine (ml/hr)",13
D51/2NS/20KCL (ml/hr),3
"1/2 NS /MVI, Thiamine, folic acid (ml/hr)",11
IVF maintenance (ml/hr),5
IVF+additives (ml/hr),7
amicar (mg/hr),41
Isuprel (mcg/min),17
aGATROBAN (ml/hr),2
Nitroglycerin(25mg/250ml) 25 mg Dextrose 5% 250 ml  Premix (glass bottle) (mcg/min),468
Micafungin/Ns  100 mg/ 100 ml 100 ml (ml/hr),3
0.2NSS (ml/hr),29
Synthroid,2
1/2 NS with 20kcl (ml/hr),12
D51/2NSS 20MEQKCL (ml/hr),2
Protonix (mg/hr),495
d5-1/2NS (ml/hr),20
0.45 NSS,2
IVF + additives (ml/hr),4
D5W 3 amp bicarb (ml/hr),54
NUTREN 1.5 (ml/hr),2508
tPA via right sheath (units/hr),20
3 % SALINE (ml/hr),21
NSS Maintenance (ml/hr),20
bicarn1.5amps (ml/hr),5
mg (mg/hr),4
Altepase (mg/hr),237
D10/0.45%NS (ml/hr),26
.5 NS/20meq KCL (ml/hr),1
0.9%NS w/20KCl,1
Volume (mL)-sodium chloride 0.9 % bolus 100 mL (ml/hr),1
Na HCO3 (ml/hr),19
Potassium 20meq IV K-rider (mg/hr),23
Insulin (mg/hr),134
PRBC (ml/hr),2063
NSS w/ MVI banana bag (ml/hr),12
.9NS100wGlucagon10mg. (ml/hr),3
Volume-Transfuse Pheresed Platelets (ml/hr),294
NS with MV (ml/hr),1
LR + 40mEq K (ml/hr),1
0.45NSS + 40 KCL (ml/hr),11
D5 0.2% NaCl/20K (ml/hr),42
D5/.45NS,1
D5 1/2 +20k (ml/hr),15
dilaudid (ml/hr),20
Fentanyl (mcg/min),45
NS/ABX (ml/hr),55
Potassium Chloside 40 meq (ml/hr),10
morphine (mg/hr),32
amikar (ml/hr),10
mucumyst (ml/hr),2
D5/NaBicarb 150mEq (ml/hr),10
Bivalirudin (Angiomax) 250 mg Dextrose 5% 50 ml (mg/kg/hr),6
D5 w/ 150mEq BiCarb (ml/hr),22
"Volume (ml) Heparin-heparin 25,000 units in dextrose 500 mL infusion",51
bicarb 1 amp (ml/hr),5
Nicardipine,416
Immune Globulin (10%) (mg/kg/hr),44
Potassium Chloride Bolus 1 Each (ml/hr),7
CACL RIDER (ml/hr),1
IV  (ml/hr),4
D5 1/2 ns with kcl (ml/hr),20
Octreotide (units/hr),9
D5 bicarb (ml/hr),12
Ketamine  (mg/hr),23
D5W c 20K (ml/hr),37
D20 (ml/hr),4
3%NS (ml/hr),45
Acetylcysteine (mg/hr),6
D5 0.45% (ml/hr),65
SODIUM BICARBONATE / 0.45%NS,2
Epidural (mg/hr),7
NARCAN (mcg/kg/hr),19
1/2 NS w/ MVI (ml/hr),11
IVF W/KCL (ml/hr),9
neosynsprine,1
STERILE H2O 3/bicarb (ml/hr),25
D5% (ml/hr),8
Cistracurium,9
vec (mcg/kg/min),11
Dilaudid PCA,5
NS w/ 20 KCL (ml/hr),182
Glucagon  (ml/hr),3
d5 NS (ml/hr),26
NS with 10KCL (ml/hr),26
D5 w/ 150 HCO3 (ml/hr),18
Nesiritide (BNP) (ml/hr),80
NSS w/ versed/fent (ml/hr),55
d5lr w/ 20 meq KCL (ml/hr),6
Acetylcysteine  (ml/hr),10
1L Sterile Water w/150 mEq Bicarb (ml/hr),1
normal saline,4
Angiomax (mcg/kg/min),14
D5 NS (ml/hr),180
NS W 20K (ml/hr),9
BICARB 150mEq (ml/hr),6
IVF without Vasoactives (ml/hr),5
D5%W,1
Morphine-PCA  (ml/hr),26
D10 (ml/hr),2555
D5 1/2 ns with kcl,8
CaCl (ml/hr),32
0.45%NS w MVI,4
Lidocaine (ml/hr),4690
0.9% NaCl (venous sheath) (ml/hr),17
"MVI, thiamine, folic (ml/hr)",2
HA (ml/hr),105
NS 40 K (ml/hr),9
D5W bicarb (ml/hr),13
ANTIBIOTIC (ml/hr),7
NS w/20kcl (ml/hr),39
bicarb gtt (ml/hr),214
Aminophylline (mg/hr),11
haldol (mg/hr),86
.45 NORMAL SALINE (ml/hr),58
D5+150meqNaHco3  (ml/hr),3
sodium bicarb (ml/hr),189
3% Hyertonic (ml/hr),17
Norepinephrine MAX 32 mg Dextrose 5% 250 ml (mcg/min),2585
Phenylephrine (mcg/hr),121
Acetylcysteine (ml/hr),178
Abx/ AntiMicrobials (ml/hr),3
Esomeprazole,9
D5 1/4ns (ml/hr),54
IVF w/KCL (ml/hr),3
Norepinephrine STD 8 mg Dextrose 5% 250 ml (mcg/min),8
D5NSS w Vitamin (ml/hr),1
Dilaudid (ml/hr),35
D5W with 20KCL (ml/hr),20
EPINEPHrine(Adrenalin)MAX 30 mg Sodium Chloride 0.9% 250 ml (mcg/min),223
D5 LR w/ multivitamins,7
dilaudud (mg/hr),6
LR w/ 20KCL (ml/hr),3
vanco3.96 mg/ml (ml/hr),7
fent/bupiv epidural (ml/hr),6
Amiodarone Inj 450 mg in Dextrose 5% (Aviva) 250 ml (),1
Naloxone (mg/hr) (mg/hr),4
Angiomax (mg/kg/min),3
Iron (ml/hr),2
0.45% NS + 75 meq sodium bicarbonate (ml/hr),19
0.9% NSS Venous Sheath (ml/hr),24
D5 Na Bicarb (ml/hr),11
D5LR 10 MEQ K (ml/hr),9
normal saline 0.9% (ml/hr),17
Cisastracurium (mcg/kg/min),4
D5/ 150 meQ Bicarb (ml/hr),1
D51/2 WITH mvi (ml/hr),26
nimbex (mg/hr),258
D5NS +20KCL (ml/hr),39
Cardene (mg/hr),105
Novasource TF (ml/hr),12
NS w/ propofol (ml/hr),8
ivf1 (ml/hr),1
morphine (ml/hr),17
d5 0.45%ns (ml/hr),36
levoquin 750 (ml/hr),2
angiomax  (ml/hr),4
Nutren 1.5 (ml/hr),45
D5 1/2 NSS w/ 20 meq KCL (ml/hr),13
Bicarbonate (ml/hr),29
BLOOD (ml/hr),62
1.8 NACL (ml/hr),17
d5LR  (ml/hr),13
nSS (ml/hr),1
dilaudid PCA (ml/hr),1
Acetylcysteine (mg/kg/hr),379
ANGIOMAX (ml/hr),2
NS carrier (ml/hr),16
D5W sodium bicarb 150meq (ml/hr),9
D5/0.9NS w/40mEq K (ml/hr),7
NSw/20KCL (ml/hr),127
0.9ns (ml/hr),42
Activase Cathflo (mg/hr),35
D5W w/ 3amps bicarb (ml/hr),25
Midazolam (mg/kg/hr),129
NSS flush (ml/hr),98
Aminophylline (mg/kg/hr),30
levophed (mcg/min),342
D5W +1/2NS 10 MEQ KCL (ml/hr),19
ivpb (ml/hr),329
Aminophylline IVF Infused (ml/hr),426
BANANA BAG (ml/hr),76
ND (ml/hr),16
Meropenem/Ns 500 mg/100Ml 100 ml (ml/hr),12
Furosemide (Lasix) STD 250 mg Sodium Chloride 0.9% 250 ml (mg/hr),8
Nss atbx (ml/hr),44
Calcium Carbonate,1
d5LR ,1
NS+ 20 mEq KCl (ml/hr),4
D5W + MVI (ml/hr),3
Insulin (),14139
Sod. Bicarb (ml/hr),28
H2O/HCO2/K (ml/hr),16
D5NS/40KCL (ml/hr),13
D5W 150 meq Bicarb (ml/hr),8
D5LR,3
MAIN (ml/hr),1407
D50 (ml/hr),26
D5+1/2 NSS (ml/hr),11
IVF Without additives (ml/hr),1
1/2 NS 1 amp HCO3,2
D5NS+20meq KCL (ml/hr),4
D5 LR 30mEqK,1
Aminophylline (ml/hr),84
nss/manifold (ml/hr),98
Sodium Bicarbonate 150mEq (ml/hr),8
ZOSYN,4
D5NS with MVI (ml/hr),5
IVF Non-VasoActive (ml/hr),22
norepinephrine Volume (ml) (ml/hr),13636
D51/2NS20KCL (ml/hr),7
Normal Saline,29
D5/0.5NS,1
Plain IVF (ml/hr),8
PCA Dilaudid (),3
Naloxone (ml/hr),2
Bld products (ml/hr),11
D10  (ml/hr),25
bicarb 1.5amps (ml/hr),2
D5 NSS (ml/hr),4
0.9% NSS via venous sheath (ml/hr),22
NSwith40KCL (ml/hr),26
D5 NS 40K (ml/hr),16
methylprednisolone (ml/hr),4
10G Mg in 1000NS (ml/hr),26
ns with 20k (ml/hr),77
Isoproterenol(Isuprel)STD 1 mg Dextrose 5% 250 ml (mcg/min),6
D5.9NS (ml/hr),42
NitroGLYCERIN IVF Infused (ml/hr),12737
1/2nss w/KCl (ml/hr),1
Cisatracurium (mg/hr),817
Epoprostenol (ml/hr),78
D5 -1/2NS,1
d5.45 (ml/hr),19
NS 20 K (ml/hr),40
ns w/ kcl 40 meq (ml/hr),18
Octreotide (mg/hr),107
amiodarone,3
amicar  (mg/hr),1
D5.45 W/20K (ml/hr),3
3% NS,6
Cardizem (ml/hr),111
Magnesium  (ml/hr),12
lipids (ml/hr),426
D51/2NSw 40 kcl (ml/hr),27
IVF non-VasoActive (ml/hr),7
0.45 NS/Sodium Bicarbonate 5meq (ml/hr),3
levithyroxine (mcg/hr),5
NS L Femoral (ml/hr),83
1.8 % saline (ml/hr),5
Tpn (ml/hr),6
Fibersource tube feeding (ml/hr),21
1/2NSS+potassium (ml/hr),3
D5 1/2NSS with 20 KCL (ml/hr),6
.45NS w/20KCl (ml/hr),10
fentanyl PCA (mcg/hr),2
Mannitol gtt(25gms/500mL) 25 g Dextrose 5% 500 ml (Unknown),1
NS with additives (ml/hr),4
0.9&NS bolus (ml/hr),1
0.45NSS (ml/hr),57
ketamine,3
Albumin  (ml/hr),6
D50.45%ns (ml/hr),8
Bumetanide (mg/hr),5544
D5 with150MEQ HC03 (ml/hr),28
Bicarbonate 150mEq (ml/hr),5
0.3% Sodium Chloride,3
.45 NS (ml/hr),550
"Sodium Chloride 0.9% 1,000 ml (ml/hr)",36
Norepinephrine STD 32 mg Dextrose 5% 282 ml (mcg/min),4
Oxacillin (ml/hr),5
IV with BICARB (ml/hr),4
"Volume (ml) Heparin-heparin 25,000 units in dextrose 500 mL infusion (ml/hr)",12302
D5W + 40 meq potassium acetate/L (ml/hr),22
D20W (ml/hr),10
D5 1/2NSS w/ 75mEq NAHCO3 (ml/hr),5
Volume (mL) Acetylcysteine,1
Levothyroid (mcg/hr),61
D5 w/150meq bicarb,1
Bicarb (3 amps) (ml/hr),1
Albumin 25 G (ml/hr),2
D5 Sodium Bicarb,7
NSS + Abx (ml/hr),111
reopro (mcg/kg/min),3
Nicardipine (mcg/hr),22
3%  SALINE (ml/hr),11
Naloxone (mg/hr),92
0.45%NS,1
Narcan (mcg/kg/hr),41
tube feeds (ml/hr),212
Tf (ml/hr),7
Fld bolus (ml/hr),1
D10 0.45NS w/40K (ml/hr),5
"Total Parenteral Nutrition 1,200 ml (ml/hr)",10
3% sodium (ml/hr),12
Fluconazole/Ns 200Mg/100Ml 100 ml (ml/hr),10
NSS w/ 7fr sheath (ml/hr),52
Bivalirudin IVF Infused (ml/hr),200
D5.45  (ml/hr),2
bicarb3amps (ml/hr),10
D5+ 0.45% NS (ml/hr),13
